Date,Close/Last,Volume,Open,High,Low,Company
08/04/2022,"118,87",15757700,"118,30"," 119,50"," 117,71",Google
08/03/2022,"118,78",25302820,"116,34"," 119,42"," 116,15",Google
08/02/2022,"115,90",17911040,"114,43"," 117,08"," 114,26",Google
08/01/2022,"115,48",22856200,"115,53"," 117,12"," 114,69",Google
07/29/2022,"116,64",31336180,"113,40"," 116,90"," 113,23",Google
07/28/2022,"114,59",23303840,"112,80"," 114,70"," 111,85",Google
07/27/2022,"113,60",41474620,"109,60"," 114,40"," 108,42",Google
07/26/2022,"105,44",36626630,"107,43"," 107,74"," 104,76",Google
07/25/2022,"108,21",28289940,"108,88"," 110,58"," 107,01",Google
07/22/2022,"108,36",44455300,"111,81"," 113,18"," 107,60",Google
07/21/2022,"115,04",27267850,"115,09"," 115,21"," 111,91",Google
07/20/2022,"114,70",26780090,"114,06"," 116,33"," 113,26",Google
07/19/2022,"114,62",30992330,"111,73"," 114,81"," 110,50",Google
07/18/2022,"109,91",33353990,"113,44"," 114,80"," 109,30",Google
07/15/2022,"112,77",34330760,"112,96"," 114,00"," 111,82",Google
07/14/2022,"111,44",32365540,"110,83"," 111,99"," 109,33",Google
07/13/2022,"112,19",38958860,"112,64"," 115,16"," 111,82",Google
07/12/2022,"114,85",24970160,"116,84"," 117,85"," 114,61",Google
07/11/2022,"116,52",26830460,"118,65"," 118,79"," 116,23",Google
07/08/2022,"120,17",29082200,"117,55"," 120,44"," 117,51",Google
07/07/2022,"119,31",32183940,"116,01"," 119,86"," 115,53",Google
07/06/2022,"115,21",28852680,"114,09"," 116,35"," 112,25",Google
07/05/2022,"113,89",36429380,"107,51"," 114,05"," 106,25",Google
07/01/2022,"109,08",31027880,"108,34"," 109,81"," 107,11",Google
06/30/2022,"109,37",38046040,"110,50"," 111,33"," 107,31",Google
06/29/2022,"112,26",18627860,"112,15"," 113,66"," 111,55",Google
06/28/2022,"112,57",28316220,"116,35"," 117,86"," 112,44",Google
06/27/2022,"116,62",32839300,"118,94"," 119,25"," 116,00",Google
06/24/2022,"118,54",39122760,"113,60"," 118,64"," 113,60",Google
06/23/2022,"112,68",24709720,"112,95"," 113,20"," 111,03",Google
06/22/2022,"112,03",23921720,"111,16"," 113,77"," 110,72",Google
06/21/2022,"112,02",39010280,"109,70"," 112,67"," 109,29",Google
06/17/2022,"107,87",43516660,"106,53"," 109,25"," 105,63",Google
06/16/2022,"106,64",35313240,"108,15"," 109,29"," 105,79",Google
06/15/2022,"110,39",33192020,"108,90"," 112,06"," 108,12",Google
06/14/2022,"107,19",25480940,"106,89"," 108,46"," 106,35",Google
06/13/2022,"106,88",36756200,"107,45"," 109,22"," 106,59",Google
06/10/2022,"111,43",31349740,"112,78"," 113,50"," 110,86",Google
06/09/2022,"114,92",23141600,"116,34"," 118,35"," 114,87",Google
06/08/2022,"117,24",22544260,"116,88"," 118,65"," 116,70",Google
06/07/2022,"117,23",26413540,"115,65"," 117,75"," 115,13",Google
06/06/2022,"117,01",23786720,"116,74"," 119,40"," 116,53",Google
06/03/2022,"114,56",24952080,"115,99"," 116,36"," 113,67",Google
06/02/2022,"117,75",27495400,"114,19"," 117,90"," 113,31",Google
06/01/2022,"114,14",28629280,"114,93"," 117,40"," 113,55",Google
05/31/2022,"114,04",51301920,"113,08"," 116,43"," 112,57",Google
05/27/2022,"112,80",29924420,"109,79"," 112,87"," 109,55",Google
05/26/2022,"108,30",30287480,"106,05"," 108,96"," 105,49",Google
05/25/2022,"105,84",37899340,"105,14"," 106,54"," 104,21",Google
05/24/2022,"105,93",60386380,"106,38"," 106,39"," 102,21",Google
05/23/2022,"111,67",31558220,"110,10"," 112,01"," 109,15",Google
05/20/2022,"109,31",37586020,"112,09"," 112,55"," 106,37",Google
05/19/2022,"110,75",29191740,"111,84"," 113,59"," 110,47",Google
05/18/2022,"112,40",27982760,"115,24"," 115,70"," 112,14",Google
05/17/2022,"116,70",21576080,"117,23"," 117,23"," 115,34",Google
05/16/2022,"114,79",23282380,"115,38"," 116,61"," 114,33",Google
05/13/2022,"116,52",29737560,"114,85"," 118,08"," 114,00",Google
05/12/2022,"113,16",41464880,"111,94"," 114,86"," 110,11",Google
05/11/2022,"113,96",36501640,"113,71"," 116,67"," 113,65",Google
05/10/2022,"114,58",31157780,"116,04"," 116,69"," 113,38",Google
05/09/2022,"113,08",34520960,"113,30"," 115,56"," 112,55",Google
05/06/2022,"115,66",35309480,"115,52"," 117,50"," 114,14",Google
05/05/2022,"116,75",43089040,"120,22"," 121,23"," 115,18",Google
05/04/2022,"122,58",33231460,"118,00"," 123,14"," 115,74",Google
05/03/2022,"118,13",21215740,"116,77"," 119,30"," 116,63",Google
05/02/2022,"117,16",30279640,"113,91"," 117,34"," 113,40",Google
04/29/2022,"114,97",33693100,"117,58"," 118,96"," 114,69",Google
04/28/2022,"119,41",36790940,"117,11"," 120,44"," 115,14",Google
04/27/2022,"115,02",62238120,"114,37"," 117,50"," 113,12",Google
04/26/2022,"119,51",49393040,"122,75"," 122,75"," 119,16",Google
04/25/2022,"123,25",34521800,"119,43"," 123,28"," 118,77",Google
04/22/2022,"119,61",46410300,"125,00"," 125,45"," 119,14",Google
04/21/2022,"124,94",30157540,"129,35"," 130,31"," 124,65",Google
04/20/2022,"128,25",22609380,"131,28"," 131,92"," 127,89",Google
04/19/2022,"130,53",22719300,"128,08"," 130,90"," 127,45",Google
04/18/2022,"127,96",14917200,"127,41"," 128,71"," 126,58",Google
04/14/2022,"127,25",23483360,"130,65"," 130,71"," 127,11",Google
04/13/2022,"130,29",19542960,"128,63"," 130,66"," 128,44",Google
04/12/2022,"128,37",23003220,"132,42"," 132,42"," 127,58",Google
04/11/2022,"129,80",24187340,"132,90"," 132,94"," 129,62",Google
04/08/2022,"134,01",16434480,"136,25"," 136,25"," 133,75",Google
04/07/2022,"136,47",19448540,"136,62"," 137,70"," 134,86",Google
04/06/2022,"137,18",23574600,"139,16"," 139,85"," 136,42",Google
04/05/2022,"141,06",19255560,"143,40"," 143,59"," 140,94",Google
04/04/2022,"143,64",19084900,"140,82"," 144,04"," 140,82",Google
04/01/2022,"140,70",23480020,"140,01"," 140,95"," 138,80",Google
03/31/2022,"139,65",29516320,"142,45"," 142,64"," 139,62",Google
03/30/2022,"142,64",21046380,"142,87"," 143,48"," 142,17",Google
03/29/2022,"143,25",28678420,"143,16"," 144,16"," 142,48",Google
03/28/2022,"141,95",23773080,"140,68"," 141,98"," 139,83",Google
03/25/2022,"141,52",19289080,"141,75"," 141,96"," 139,70",Google
03/24/2022,"141,31",20544720,"139,27"," 141,40"," 138,04",Google
03/23/2022,"138,50",25302320,"139,14"," 140,03"," 138,17",Google
03/22/2022,"140,28",29776860,"136,50"," 141,50"," 136,50",Google
03/21/2022,"136,48",26632460,"136,85"," 137,58"," 134,61",Google
03/18/2022,"136,80",45899700,"133,88"," 136,91"," 132,93",Google
03/17/2022,"134,60",23994380,"133,32"," 134,74"," 132,72",Google
03/16/2022,"133,69",32058200,"131,00"," 133,77"," 129,20",Google
03/15/2022,"129,66",30292600,"127,74"," 130,52"," 126,57",Google
03/14/2022,"126,74",30253860,"130,57"," 131,03"," 126,41",Google
03/11/2022,"130,48",26599800,"134,00"," 134,20"," 130,30",Google
03/10/2022,"132,68",24265200,"131,46"," 133,54"," 131,40",Google
03/09/2022,"133,87",32257440,"131,40"," 134,20"," 130,09",Google
03/08/2022,"127,28",35249560,"126,25"," 131,25"," 125,86",Google
03/07/2022,"126,46",39177900,"131,90"," 131,90"," 126,41",Google
03/04/2022,"132,12",24472240,"133,38"," 134,20"," 130,41",Google
03/03/2022,"134,31",19779300,"135,98"," 136,71"," 133,43",Google
03/02/2022,"134,75",23966740,"134,61"," 135,62"," 133,43",Google
03/01/2022,"134,17",24639920,"134,48"," 136,11"," 133,38",Google
02/28/2022,"134,89",29675680,"133,28"," 135,64"," 132,83",Google
02/25/2022,"134,52",26235860,"133,53"," 135,39"," 131,76",Google
02/24/2022,"132,67",43165080,"125,00"," 133,04"," 124,76",Google
02/23/2022,"127,58",26431280,"131,08"," 131,75"," 127,50",Google
02/22/2022,"129,40",38906580,"129,99"," 131,90"," 127,74",Google
02/18/2022,"130,47",31858600,"133,04"," 133,82"," 130,31",Google
02/17/2022,"132,31",30968120,"136,15"," 136,84"," 132,20",Google
02/16/2022,"137,49",25609660,"136,43"," 137,95"," 134,82",Google
02/15/2022,"136,43",26577560,"137,47"," 137,90"," 135,54",Google
02/14/2022,"135,30",26792800,"133,37"," 136,17"," 133,30",Google
02/11/2022,"134,13",38808800,"138,75"," 139,28"," 133,29",Google
02/10/2022,"138,60",33017700,"139,50"," 141,43"," 138,05",Google
02/09/2022,"141,45",28627160,"140,85"," 142,18"," 140,38",Google
02/08/2022,"139,21",34255040,"138,99"," 139,84"," 136,87",Google
02/07/2022,"138,94",44610740,"143,71"," 143,85"," 138,70",Google
02/04/2022,"143,02",49224400,"143,02"," 144,54"," 139,82",Google
02/03/2022,"142,65",56930140,"145,29"," 149,12"," 142,21",Google
02/02/2022,"148,04",89750760,"151,86"," 152,10"," 145,56",Google
02/01/2022,"137,88",51203200,"137,84"," 138,20"," 134,57",Google
01/31/2022,"135,70",34055560,"134,20"," 135,84"," 132,27",Google
01/28/2022,"133,29",30517560,"130,00"," 133,37"," 128,69",Google
01/27/2022,"129,12",30285020,"131,36"," 132,61"," 128,94",Google
01/26/2022,"129,24",39630880,"130,59"," 132,81"," 127,15",Google
01/25/2022,"126,74",36008600,"128,44"," 129,34"," 126,38",Google
01/24/2022,"130,37",55292040,"126,03"," 130,78"," 124,64",Google
01/21/2022,"130,09",41919220,"133,01"," 134,76"," 130,00",Google
01/20/2022,"133,51",21930560,"136,51"," 137,91"," 133,14",Google
01/19/2022,"135,65",20795280,"136,94"," 138,40"," 135,50",Google
01/18/2022,"136,29",27401960,"136,60"," 137,39"," 135,62",Google
01/14/2022,"139,79",23825920,"137,50"," 141,20"," 137,50",Google
01/13/2022,"139,13",26565080,"141,84"," 143,19"," 138,91",Google
01/12/2022,"141,65",23641580,"141,55"," 142,81"," 141,11",Google
01/11/2022,"140,02",23501240,"138,18"," 140,33"," 136,81",Google
01/10/2022,"138,57",34095680,"135,10"," 138,64"," 133,14",Google
01/07/2022,"137,00",19408240,"137,91"," 138,25"," 135,79",Google
01/06/2022,"137,55",29049040,"137,50"," 139,69"," 136,76",Google
01/05/2022,"137,65",49641520,"144,18"," 144,30"," 137,52",Google
01/04/2022,"144,42",22927780,"145,55"," 146,61"," 143,82",Google
01/03/2022,"145,07",25224500,"144,48"," 145,55"," 143,50",Google
12/31/2021,"144,68",17297700,"145,54"," 146,37"," 144,68",Google
12/30/2021,"146,00",12977020,"146,45"," 147,06"," 145,76",Google
12/29/2021,"146,50",17024720,"146,43"," 147,18"," 145,50",Google
12/28/2021,"146,45",18635840,"148,37"," 148,37"," 145,94",Google
12/27/2021,"148,06",13259320,"147,46"," 148,43"," 147,25",Google
12/23/2021,"147,14",13818680,"147,09"," 148,57"," 146,95",Google
12/22/2021,"146,95",18440480,"144,10"," 147,30"," 143,96",Google
12/21/2021,"144,22",19551940,"143,15"," 144,69"," 141,74",Google
12/20/2021,"142,40",20263520,"140,68"," 142,61"," 140,25",Google
